Location,Region,District,Street,Price,Views,Area,Rooms,Floor,Storeys,Bathrooms,Building_type,Ceiling_height,Condition,Date_added,Date_edited,Date_scraped,Latitude,Longitude,Address,Facilities,Additional_info,url,On_request,Price_sqm,Error,Floors,Listing_type,Property_type,Platform_name,Airconditioner,Canalization,Centralheating,Electricity,Gas,Heating,Hotwater,Internet,Irrigation,Sewerage,Water,Water24_7,Attic,Balcony,Basement,Bilateral,Buildingexistence,Closetothebusstation,Elevator,Equipment,Eurowindows,Fence,Fireplace,Furniture,Garage,Gate,Grating,Gym,Heatedfloor,Heater,Highfirstfloor,Irondoor,Laminateflooring,Loggia,Openbalcony,Park,Parking,Parquet,Playground,Roadside,Sauna,Securitysystem,Storageroom,Sunny,Swimmingpool,Tile,Has_view
"Yerevan, Center, Saryan St",Yerevan, Center, Saryan St,600.0,2929.0,75,2,9,10,1,Panel,2.8,Good,10.09.2019,14.12.2019,08.05.2022,40.1823898,44.5051188,"27, Սարյանի փողոց, Կենտրոն, Երևան, 0002, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Tile,Sunny,View,Roadside,Closetothebusstation,Playground,Park,Elevator",https://myrealty.am/en/2-bedroom/apartment-for-rent/Saryan+St/Center/Yerevan/84218,0,,0,,for rent,apartment,bars.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1
"Yerevan, Center, Sayat-Nova Ave",Yerevan, Center, Sayat-Nova Ave,950.0,3036.0,103,3,7,10,1,Monolit,3.2,Newly repaired,10.09.2019,06.05.2020,08.05.2022,40.18212588,44.51208479,"30, Եզնիկ Կողբացու փողոց, Կենտրոն, Երևան, 0002, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Tile,Parquet,Securitysystem,Sunny,Roadside,Closetothebusstation,Garage,Playground,Park,Elevator",https://myrealty.am/en/3-bedroom/apartment-for-rent-in-new-construction/Sayat-Nova+Ave/Center/Yerevan/84217,0,,0,,for rent,apartment,myrealty.am,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0
"Yerevan, Center, Amiryan St",Yerevan, Center, Amiryan St,890.0,2694.0,75,3,9,11,1,Monolit,2.8,Newly repaired,10.09.2019,14.12.2019,08.05.2022,40.1806224,44.5081781,"HAF-HAF, 13/45, Ամիրյան փողոց, Կենտրոն, Երևան, 0002, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Tile,Sunny,View,Closetothebusstation,Elevator",https://myrealty.am/en/3-bedroom/apartment-for-rent-in-new-construction/Amiryan+St/Center/Yerevan/84181,0,,0,,for rent,apartment,bars.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Yerevan, Center, Sayat-Nova Ave",Yerevan, Center, Sayat-Nova Ave,950.0,2653.0,103,3,7,10,1,Monolit,3.0,Newly repaired,10.09.2019,14.12.2019,08.05.2022,40.1835685,44.5204962,"21, Սայաթ-Նովայի պողոտա, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Tile,Securitysystem,Sunny,View,Roadside,Closetothebusstation,Parking,Playground,Park,Elevator",https://myrealty.am/en/3-bedroom/apartment-for-rent-in-new-construction/Sayat-Nova+Ave/Center/Yerevan/84177,0,,0,,for rent,apartment,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1
"Yerevan, Arabkir, Baghramyan av(Arabkir)",Yerevan, Arabkir, Baghramyan av(Arabkir),1300.0,3009.0,120,3,4,15,2,Monolit,3.0,Newly repaired,10.09.2019,09.07.2020,08.05.2022,40.1938479,44.4971046,"59, Մարշալ Բաղրամյան պողոտա, Արաբկիր, Երևան, 0033, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Tile,Securitysystem,Sunny,View,Roadside,Closetothebusstation,Playground,Park,Elevator",https://myrealty.am/en/3-bedroom/apartment-for-rent-in-new-construction/Baghramyan+av%28Arabkir%29/Arabkir/Yerevan/84167,0,,0,,for rent,apartment,myrealty.am,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1
"Yerevan, Qanaqer-Zeytun, Rubinyants St",Yerevan, Qanaqer-Zeytun, Rubinyants St,421.0,1753.0,74,3,3,16,2,Panel,2.8,Good,10.09.2019,07.09.2020,08.05.2022,40.203145,44.5479995,"22, Ռուբինյանց փողոց, Քանաքեռ-Զեյթուն, Երևան, 0035, Հայաստան","Heating,Internet,Sewerage,Canalization,Electricity,Air-conditioner,Gas,Water","Furniture,Equipment,Eurowindows,Irondoor,Tile,Laminateflooring,Elevator",https://myrealty.am/en/3-bedroom/apartment-for-rent/Rubinyants+St/Qanaqer-Zeytun/Yerevan/102339,0,,0,,for rent,apartment,bars.am,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, A.Manukyan St",Yerevan, Center, A.Manukyan St,3000.0,3285.0,130,4,3,6,1,Monolit,3.2,Newly repaired,09.09.2019,01.05.2020,08.05.2022,40.1753293,44.5227428,"HSBC, 10, Ալեք Մանուկյանի փողոց, Կենտրոն, Երևան, 0070, Հայաստան","Heating,Internet,Hotwater,Electricity,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Tile,Sunny,View,Elevator",https://myrealty.am/en/4-bedroom/apartment-for-rent-in-new-construction/A.Manukyan+St/Center/Yerevan/84098,0,,0,,for rent,apartment,myrealty.am,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Yerevan, Center, Charents St",Yerevan, Center, Charents St,1000.0,2257.0,93,3,2,5,1,Stone,2.8,Newly repaired,09.09.2019,16.12.2019,08.05.2022,40.1794812,44.5273494,"28, Չարենցի փողոց, Կենտրոն, Երևան, 0025, Հայաստան","Heating,Internet,Hotwater,Electricity,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Tile,Parquet,Sunny,View,Garage",https://myrealty.am/en/3-bedroom/apartment-for-rent/Charents+St/Center/Yerevan/84094,0,,0,,for rent,apartment,bars.am,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
"Yerevan, Arabkir, Nikol Duman St",Yerevan, Arabkir, Nikol Duman St,400.0,2660.0,75,2,8,14,1,Panel,2.8,Good,09.09.2019,14.12.2019,08.05.2022,40.20136,44.488879,"51, Նիկոլ Դումանի փողոց, Արաբկիր, Երևան, 0028, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Laminateflooring,Sunny,View,Roadside,Closetothebusstation,Park",https://myrealty.am/en/2-bedroom/apartment-for-rent/Nikol+Duman+St/Arabkir/Yerevan/84089,0,,0,,for rent,apartment,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1
"Yerevan, Center, Argishti St",Yerevan, Center, Argishti St,400.0,4319.0,55,1,11,15,1,Monolit,2.8,Good,09.09.2019,19.03.2020,08.05.2022,40.1739822,44.5042263,"7, Արգիշտի փողոց, Կենտրոն, Երևան, 0015, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Sunny,View,Roadside,Closetothebusstation,Playground,Park,Elevator",https://myrealty.am/en/1-bedroom/apartment-for-rent-in-new-construction/Argishti+St/Center/Yerevan/84088,0,,0,,for rent,apartment,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1
