Location,Region,District,Street,Price,Price_sqm,Views,Area,Rooms,Floor,Storeys,Bathrooms,Building_type,Ceiling_height,Condition,Date_added,Date_edited,Date_scraped,Latitude,Longitude,Address,Facilities,Additional_info,url,On_request,Error,Listing_type,Property_type,Floors,Platform_name,Airconditioner,Canalization,Centralheating,Electricity,Gas,Heating,Hotwater,Internet,Irrigation,Sewerage,Water,Water24_7,Attic,Balcony,Basement,Bilateral,Buildingexistence,Closetothebusstation,Elevator,Equipment,Eurowindows,Fence,Fireplace,Furniture,Garage,Gate,Grating,Gym,Heatedfloor,Heater,Highfirstfloor,Irondoor,Laminateflooring,Loggia,Openbalcony,Park,Parking,Parquet,Playground,Roadside,Sauna,Securitysystem,Storageroom,Sunny,Swimmingpool,Tile,Has_view
"Yerevan, Center, Tumanyan St",Yerevan, Center, Tumanyan St,320000,2909,948.0,110.0,3,2,3,2,Stone,3.0,Newly repaired,27.07.2021,17.11.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Hotwater,Electricity,Gas,Water,water24/7",Openbalcony,https://myrealty.am/en/3-bedroom/apartment-for-sale/Tumanyan+St/Center/Yerevan/112905,0,0,for sale,apartment,,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Avan, Avan-Arinj 1 micro",Yerevan, Avan, Avan-Arinj 1 micro,57000,950,1067.0,60.0,2,6,14,1,Panel,2.8,Newly repaired,27.07.2021,12.10.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Hotwater,Electricity,Gas,Water,water24/7","Furniture,Equipment,Elevator",https://myrealty.am/en/2-bedroom/apartment-for-sale/Avan-Arinj+1+micro/Avan/Yerevan/112903,0,0,for sale,apartment,,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Avan, Tsarav Aghbyur St",Yerevan, Avan, Tsarav Aghbyur St,139500,1163,921.0,120.0,3,2,9,1,Monolit,3.0,Newly repaired,27.07.2021,12.10.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Hotwater,Electricity,Gas,Water,water24/7","Openbalcony,Elevator",https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Tsarav+Aghbyur+St/Avan/Yerevan/112892,0,0,for sale,apartment,,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Avan, Tsarav Aghbyur St",Yerevan, Avan, Tsarav Aghbyur St,139500,1163,868.0,120.0,3,2,9,1,Monolit,3.0,Newly repaired,27.07.2021,27.07.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Hotwater,Electricity,Gas,Water,water24/7","Openbalcony,Elevator",https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Tsarav+Aghbyur+St/Avan/Yerevan/112891,0,0,for sale,apartment,,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Arabkir, Mamikoniants St",Yerevan, Arabkir, Mamikoniants St,82000,1491,1097.0,55.0,2,3,18,1,Monolit,3.0,Newly repaired,26.07.2021,26.07.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Hotwater,Electricity,Gas,Water,water24/7","Furniture,Equipment,Openbalcony,Elevator",https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Mamikoniants+St/Arabkir/Yerevan/112886,0,0,for sale,apartment,,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Arabkir, Hambardzumyan St",Yerevan, Arabkir, Hambardzumyan St,138000,1453,907.0,95.0,3,3,6,1,Stone,2.8,Newly repaired,26.07.2021,07.04.2022,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Gas,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Tile,Parquet,Sunny,Bilateral",https://myrealty.am/en/3-bedroom/apartment-for-sale/Hambardzumyan+St/Arabkir/Yerevan/112880,0,0,for sale,apartment,,myrealty.am,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"Yerevan, Center, Baghramyan Ave (Kentron)",Yerevan, Center, Baghramyan Ave (Kentron),150000,1667,875.0,90.0,3,1,2,1,Stone,2.8,Newly repaired,26.07.2021,12.11.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating",Basement,https://myrealty.am/en/3-bedroom/apartment-for-sale/Baghramyan+Ave+%28Kentron%29/Center/Yerevan/112879,0,0,for sale,apartment,,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Shengavit, Shirak 4 alley",Yerevan, Shengavit, Shirak 4 alley,55000,478,943.0,115.0,4,4,4,2,Stone,3.2,Good,26.07.2021,11.10.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Hotwater,Sewerage,Canalization,Electricity,Gas,Water,water24/7","Furniture,Irondoor,Openbalcony,Balcony,Sunny,View,Closetothebusstation",https://myrealty.am/en/4-bedroom/apartment-for-sale/Shirak+4+alley/Shengavit/Yerevan/112875,0,0,for sale,apartment,,myrealty.am,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"Yerevan, Center, Buzand St",Yerevan, Center, Buzand St,220000,2268,1093.0,97.0,3,4,17,2,Monolit,3.0,Newly repaired,26.07.2021,18.01.2022,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Eurowindows,Irondoor,Openbalcony,Tile,Laminateflooring,Sunny,View,Closetothebusstation,Playground,Park,Elevator",https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Buzand+St/Center/Yerevan/112989,0,0,for sale,apartment,,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1
"Yerevan, Qanaqer-Zeytun, Nazaret Surenyan St",Yerevan, Qanaqer-Zeytun, Nazaret Surenyan St,70000,1077,486.0,65.0,2,8,9,1,Panel,2.8,Newly repaired,25.07.2021,25.07.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Sunny,Laminateflooring,Tile",https://myrealty.am/en/2-bedroom/apartment-for-sale/Nazaret+Surenyan+St/Qanaqer-Zeytun/Yerevan/112852,0,0,for sale,apartment,,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
