Location,Region,District,Street,Price,Views,Area,Rooms,Floors,Bathrooms,Building_type,Ceiling_height,Condition,Date_added,Date_edited,Date_scraped,Latitude,Longitude,Address,Facilities,Additional_info,url,On_request,Price_sqm,Error,Floor,Storeys,Listing_type,Property_type,Platform_name,Airconditioner,Canalization,Centralheating,Electricity,Gas,Heating,Hotwater,Internet,Irrigation,Sewerage,Water,Water24_7,Attic,Balcony,Basement,Bilateral,Buildingexistence,Closetothebusstation,Elevator,Equipment,Eurowindows,Fence,Fireplace,Furniture,Garage,Gate,Grating,Gym,Heatedfloor,Heater,Highfirstfloor,Irondoor,Laminateflooring,Loggia,Openbalcony,Park,Parking,Parquet,Playground,Roadside,Sauna,Securitysystem,Storageroom,Sunny,Swimmingpool,Tile,Has_view
"Tavush, Dilijan, Dilidjan",Tavush, Dilijan, Dilidjan,4500.0,122,1000,6,2,4,Other,2.8,Good,04.05.2022,04.05.2022,08.05.2022,40.7405524,44.8625965,"9, Կալինինի փողոց, Դիլիջան, Դիլիջանի տարածաշրջան, Տավուշի մարզ, 3901, Հայաստան","Water,water24/7,Electricity,Internet,Hotwater,Gas,Heating","Playground,Park,Roadside,Closetothebusstation,View,Sunny,Tile,Eurowindows,Openbalcony,Equipment,Furniture",https://myrealty.am/en/house-for-rent/Dilidjan/Dilijan/Tavush/121413,0,,0,,,for rent,house,myrealty.am,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1
"Yerevan, Center, Kajaznuni St",Yerevan, Center, Kajaznuni St,4500.0,196,385,7,3,3,Stone,3.2,Newly repaired,28.04.2022,28.04.2022,08.05.2022,40.1663732,44.521132,"20, Քաջազնունի փողոց, Երևան, 0070, Հայաստան","Water,water24/7,Electricity,Air-conditioner,Internet,Hotwater,Gas,Heating","Irondoor,Roadside,Closetothebusstation,View,Sunny,Parquet,Laminateflooring,Eurowindows,Openbalcony",https://myrealty.am/en/house-for-rent/Kajaznuni+St/Center/Yerevan/121226,0,,0,,,for rent,house,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1
"Yerevan, Erebuni, Suvorov st",Yerevan, Erebuni, Suvorov st,3000.0,310,325,6,3,2,Stone,3.0,Newly repaired,20.04.2022,20.04.2022,08.05.2022,40.1541352,44.5154774,"42, Սուվորովի փողոց, Էրեբունի, Երևան, 0008, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Tile,Sunny,View,Roadside,Closetothebusstation,Playground,Park",https://myrealty.am/en/new-build-house-for-rent/Suvorov+st/Erebuni/Yerevan/121050,0,,0,,,for rent,house,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1
"Yerevan, Arabkir, Ghapantsian St",Yerevan, Arabkir, Ghapantsian St,4000.0,331,580,6,2,3,Stone,2.8,Newly repaired,19.04.2022,19.04.2022,08.05.2022,40.2955314,44.3588081,"29, Գրիգոր Ղափանցյան փոզոց, Աշտարակ, Աշտարակի տարածաշրջան, Արագածոտնի մարզ, 0201, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Securitysystem,Sunny,View,Roadside,Closetothebusstation,Playground,Park",https://myrealty.am/en/new-build-house-for-rent/Ghapantsian+St/Arabkir/Yerevan/121014,0,,0,,,for rent,house,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1
"Yerevan, Arabkir, Shrjancik Tunel",Yerevan, Arabkir, Shrjancik Tunel,4800.0,346,1000,4,2,2,Stone,3.0,Newly repaired,18.04.2022,18.04.2022,08.05.2022,40.2334656,44.5389706,"25/4, Շրջանցիկ Թունել փողոց, Արաբկիր, Երևան, 0052, Հայաստան","Water,water24/7,Electricity,Air-conditioner,Internet,Hotwater,Gas,Heating","Playground,Park,Roadside,Closetothebusstation,View,Sunny,Tile,Eurowindows,Openbalcony,Equipment,Furniture",https://myrealty.am/en/house-for-rent/Shrjancik+Tunel/Arabkir/Yerevan/120996,0,,0,,,for rent,house,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1
"Yerevan, Achapnyak, Nazarbekyan district",Yerevan, Achapnyak, Nazarbekyan district,2500.0,331,500,5,2,2,Stone,3.0,Newly repaired,18.04.2022,18.04.2022,08.05.2022,40.2059466,44.4570316,"21/2, Գ-1 միկրո, Г-1 թաղամաս, Աջափնյակ, Երևան, 0057, Հայաստան","Sewerage,Canalization,Water,water24/7,Electricity,Air-conditioner,Internet,Hotwater,Gas,Heating","Irondoor,Sunny,Parquet,Laminateflooring,Tile,Eurowindows,Openbalcony,Equipment,Furniture",https://myrealty.am/en/house-for-rent/Nazarbekyan+district/Achapnyak/Yerevan/120993,0,,0,,,for rent,house,myrealty.am,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
"Armavir, Paraqar, Paraqar",Armavir, Paraqar, Paraqar,2000.0,223,800,5,2,2,Monolit,3.0,Newly repaired,18.04.2022,18.04.2022,08.05.2022,40.1682988,44.4053333,"42, Տիգրան Պետրոսյան փողոց, Փարաքար, Վաղարշապատի տարածաշրջան, Արմավիրի մարզ, 1149, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Parquet,Sunny,View,Bilateral,Closetothebusstation,Garage,Playground,Gate,Fence",https://myrealty.am/en/new-build-house-for-rent/Paraqar/Paraqar/Armavir/120982,0,,0,,,for rent,house,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
"Yerevan, Arabkir, Aygedzor St",Yerevan, Arabkir, Aygedzor St,6000.0,272,400,6,4,5,Stone,3.0,Newly repaired,16.04.2022,16.04.2022,08.05.2022,40.1913985,44.5001596,"42, Այգեձորի փողոց, Արաբկիր, Երևան, 0019, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Tile,Laminateflooring,Sunny,View,Roadside,Closetothebusstation,Playground,Park",https://myrealty.am/en/house-for-rent/Aygedzor+St/Arabkir/Yerevan/120944,0,,0,,,for rent,house,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1
"Yerevan, Malatia-Sebastia, Noy district",Yerevan, Malatia-Sebastia, Noy district,6000.0,379,1400,5,3,5,Monolit,3.2,Newly repaired,13.04.2022,13.04.2022,08.05.2022,40.1686452,44.457492,"Սեբաստիայի փողոց, Մալաթիա-Սեբաստիա, Երևան, 0032, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Grating,Irondoor,Openbalcony,Tile,Laminateflooring,Parquet,Heatedfloor,Securitysystem,Gym,Swimmingpool,Sunny,View,Closetothebusstation,Parking,Garage,Park,Gate,Fence",https://myrealty.am/en/new-build-house-for-rent/Noy+district/Malatia-Sebastia/Yerevan/120824,0,,0,,,for rent,house,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1
"Yerevan, Norq Marash, G. Hovsepyan St",Yerevan, Norq Marash, G. Hovsepyan St,5000.0,393,1150,4,2,2,Stone,3.0,Newly repaired,11.04.2022,11.04.2022,08.05.2022,40.1768037,44.5387493,"Տեսարան ռեստորան, Գարեգին Հովսեփյանի փողոց, Նորք Մարաշ, Երևան, 0047, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Tile,Laminateflooring,Sunny,View,Roadside,Closetothebusstation,Playground,Park",https://myrealty.am/en/house-for-rent/G.+Hovsepyan+St/Norq+Marash/Yerevan/120756,0,,0,,,for rent,house,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1
