Location,Region,District,Street,Price,Price_sqm,Views,Area,Rooms,Floors,Bathrooms,Building_type,Ceiling_height,Condition,Date_added,Date_edited,Date_scraped,Latitude,Longitude,Address,Facilities,Additional_info,url,On_request,Error,Floor,Storeys,Listing_type,Property_type,Platform_name,Airconditioner,Canalization,Centralheating,Electricity,Gas,Heating,Hotwater,Internet,Irrigation,Sewerage,Water,Water24_7,Attic,Balcony,Basement,Bilateral,Buildingexistence,Closetothebusstation,Elevator,Equipment,Eurowindows,Fence,Fireplace,Furniture,Garage,Gate,Grating,Gym,Heatedfloor,Heater,Highfirstfloor,Irondoor,Laminateflooring,Loggia,Openbalcony,Park,Parking,Parquet,Playground,Roadside,Sauna,Securitysystem,Storageroom,Sunny,Swimmingpool,Tile,Has_view
"Kotayk, Qasakh, Qasakh",Kotayk, Qasakh, Qasakh,92000,153,774.0,600,4,1,1,Stone,2.8,Newly repaired,25.10.2021,25.10.2021,08.05.2022,40.2355256,44.4514419,"9, Վազգեն Սարգսյանի փողոց, Քասախ, Եղվարդի տարածաշրջան, Կոտայքի մարզ, 2415, Հայաստան","Heating,Hotwater,Electricity,Gas,Water,water24/7","Eurowindows,Tile,Sunny,View,Park",https://myrealty.am/en/house-for-sale/Qasakh/Qasakh/Kotayk/115611,0,0,,,for sale,house,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
"Yerevan, Nor Norq, Bagrevand district",Yerevan, Nor Norq, Bagrevand district,330000,471,1370.0,700,5,3,3,Monolit,3.0,Newly repaired,25.10.2021,25.10.2021,08.05.2022,40.1924843,44.5863323,"Բագրևանդ, Նոր Նորք, Ջրվեժ, 0089, Հայաստան","Heating,Hotwater,Electricity,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Tile,Parquet,Securitysystem,Sunny,View,Gate,Fence",https://myrealty.am/en/house-for-sale/Bagrevand+district/Nor+Norq/Yerevan/115609,0,0,,,for sale,house,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1
"Yerevan, Avan, Avan 5 St",Yerevan, Avan, Avan 5 St,130000,260,1125.0,500,4,1,1,Stone,2.8,Newly repaired,25.10.2021,25.10.2021,08.05.2022,40.1471147,44.5168198,"Կենտրոնական զինվորական հիվանդանոց, Նոր Արեշի 5րդ փողոց, Էրեբունի, Երևան, 0075, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Loggia,Balcony,Storageroom,Basement,Tile,Laminateflooring,Parquet,Securitysystem,Sunny,Bilateral,Roadside,Closetothebusstation,Garage,Highfirstfloor",https://myrealty.am/en/house-for-sale/Avan+5+St/Avan/Yerevan/115596,0,0,,,for sale,house,bars.am,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0
"Yerevan, Norq Marash, Armenak Armenakyan St",Yerevan, Norq Marash, Armenak Armenakyan St,1700000,1133,1173.0,1500,7,3,5,Stone,3.0,Newly repaired,24.10.2021,24.10.2021,08.05.2022,40.1890371,44.530844,"73, Արմենակ Արմենակյան փողոց, Նորք Մարաշ, Երևան, 0047, Հայաստան","Heating,Internet,Electricity,Air-conditioner,Gas,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Irondoor,Openbalcony,Tile,Securitysystem,Gym,Swimmingpool,Sunny,View,Bilateral,Garage,Gate,Fence,Sauna",https://myrealty.am/en/house-for-sale/Armenak+Armenakyan+St/Norq+Marash/Yerevan/115593,0,0,,,for sale,house,bars.am,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1
"Yerevan, Avan, Paruyr Sevak 11",Yerevan, Avan, Paruyr Sevak 11,350000,583,928.0,600,4,3,3,Stone,3.0,Newly repaired,24.10.2021,24.10.2021,08.05.2022,40.2284687,44.5793544,"29, Պարույր Սևակ թաղ 1-ին փողոց, Առինջ, Աբովյանի տարածաշրջան, Կոտայքի մարզ, 3742210, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,water24/7","Openbalcony,Attic,Sunny,View,Garage,Park",https://myrealty.am/en/house-for-sale/Paruyr+Sevak+11/Avan/Yerevan/115587,0,0,,,for sale,house,myrealty.am,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
"Yerevan, Avan, N. Safaryan St",Yerevan, Avan, N. Safaryan St,266000,665,1070.0,400,6,3,3,Stone,3.0,Newly repaired,22.10.2021,22.10.2021,08.05.2022,40.2147569,44.5858367,"77, Գեներալ Սաֆարյանի փողոց, Դուրյան թաղամաս, Ավան, Երևան, 0044, Հայաստան","Sewerage,Canalization,Water,water24/7,Electricity,Hotwater,Gas","Fence,Gate,Buildingexistence,Garage,Roadside,Closetothebusstation,Basement,Openbalcony",https://myrealty.am/en/house-for-sale/N.+Safaryan+St/Avan/Yerevan/115549,0,0,,,for sale,house,bars.am,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Yerevan, Avan, Avan 14 St 4 alley",Yerevan, Avan, Avan 14 St 4 alley,68000,340,1465.0,200,6,2,2,Stone,3.0,Good,22.10.2021,22.10.2021,08.05.2022,40.1872023,44.515209,"Ժյուլ Բաստիեն Լըպաժ, Մեսրոպ Մաշտոցի պողոտա, Կենտրոն, Երևան, 0009, Հայաստան","Sewerage,Canalization,Irrigation,Water,water24/7,Electricity,Internet,Hotwater,Gas,Heating","Gate,Garage,Roadside,Sunny,Laminateflooring,Tile,Eurowindows",https://myrealty.am/en/house-for-sale/Avan+14+St+4+alley/Avan/Yerevan/115544,0,0,,,for sale,house,myrealty.am,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"Yerevan, Avan, Teryan st",Yerevan, Avan, Teryan st,95000,380,1249.0,250,1,2,1,Other,3.0,Zero condition,22.10.2021,22.10.2021,08.05.2022,40.2141846,44.567041,"10, Ավան 12-րդ փողոց, Ավան, Երևան, 0063, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating",Eurowindows,https://myrealty.am/en/house-for-sale/Teryan+st/Avan/Yerevan/115541,0,0,,,for sale,house,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Avan, Avan 4 St 3 alley",Yerevan, Avan, Avan 4 St 3 alley,225000,804,878.0,280,4,2,2,Stone,2.8,Newly repaired,22.10.2021,22.10.2021,08.05.2022,40.2112039,44.5622492,"1, Ավան 5-րդ փողոց, Ավան, Երևան, 0063, Հայաստան","Heating,Hotwater,Electricity,Centralheating,Gas,Water,water24/7","Eurowindows,Openbalcony,Tile,Parquet,Sunny",https://myrealty.am/en/house-for-sale/Avan+4+St+3+alley/Avan/Yerevan/115540,0,0,,,for sale,house,myrealty.am,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
"Yerevan, Avan, Paruyr Sevak dis.",Yerevan, Avan, Paruyr Sevak dis.,150000,333,1144.0,450,4,2,1,Stone,3.0,Newly repaired,22.10.2021,22.10.2021,08.05.2022,40.2284687,44.5793544,"29, Պարույր Սևակ թաղ 1-ին փողոց, Առինջ, Աբովյանի տարածաշրջան, Կոտայքի մարզ, 3742210, Հայաստան","Heating,Hotwater,Electricity,Gas,water24/7","Eurowindows,Irondoor,Attic,Basement,Sunny,View,Bilateral,Roadside,Closetothebusstation,Garage,Gate,Fence",https://myrealty.am/en/house-for-sale/Paruyr+Sevak+dis./Avan/Yerevan/115535,0,0,,,for sale,house,myrealty.am,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"Yerevan, Avan, Mher Mkrtchyan",Yerevan, Avan, Mher Mkrtchyan,150000,300,983.0,500,7,2,1,Stone,3.2,Newly repaired,22.10.2021,22.10.2021,08.05.2022,40.174915,44.5120246,"10, Մհեր Մկրտչյան փողոց, Կենտրոն, Երևան, 0010, Հայաստան","water24/7,Electricity,Hotwater,Gas,Heating","Roadside,View,Sunny",https://myrealty.am/en/house-for-sale/Mher+Mkrtchyan/Avan/Yerevan/115520,0,0,,,for sale,house,myrealty.am,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"Yerevan, Malatia-Sebastia, Israyel Ori St",Yerevan, Malatia-Sebastia, Israyel Ori St,550000,423,1065.0,1300,7,3,3,Stone,3.0,Newly repaired,22.10.2021,22.10.2021,08.05.2022,40.1878159,44.5043063,"42, Պռոշյան փողոց, Կենտրոն, Երևան, 0019, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Irondoor,Openbalcony,Storageroom,Basement,Securitysystem,Gym,Swimmingpool,Sunny,View,Closetothebusstation,Gate,Fence,Highfirstfloor",https://myrealty.am/en/house-for-sale/Israyel+Ori+St/Malatia-Sebastia/Yerevan/115519,0,0,,,for sale,house,myrealty.am,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1
"Yerevan, Malatia-Sebastia, Haghtanak vill 1 St",Yerevan, Malatia-Sebastia, Haghtanak vill 1 St,112000,280,876.0,400,6,1,1,Stone,3.2,Newly repaired,22.10.2021,22.10.2021,08.05.2022,40.188981,44.4207098,"24, Հաղթանակ 10-րդ փողոց, Հաղթանակ, Մալաթիա-Սեբաստիա, Երևան, 0081, Հայաստան","Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Gas,Water,water24/7","Eurowindows,Irondoor,Openbalcony,Basement,Tile,Laminateflooring,Roadside,Closetothebusstation,Garage",https://myrealty.am/en/house-for-sale/Haghtanak+vill+1+St/Malatia-Sebastia/Yerevan/115518,0,0,,,for sale,house,myrealty.am,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"Yerevan, Malatia-Sebastia, Noy district",Yerevan, Malatia-Sebastia, Noy district,650000,1477,826.0,440,6,3,4,Stone,2.8,Newly repaired,22.10.2021,22.10.2021,08.05.2022,37.3744075,-96.0811981,"898, 8th Street, Longton, Elk County, Kansas, 67352, United States","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Grating,Irondoor,Openbalcony,Basement,Tile,Laminateflooring,Heatedfloor,Securitysystem,Swimmingpool,Sunny,View,Bilateral,Roadside,Garage,Buildingexistence,Fence,Highfirstfloor",https://myrealty.am/en/house-for-sale/Noy+district/Malatia-Sebastia/Yerevan/115517,0,1,,,for sale,house,bars.am,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1
